DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2013-08,21.15,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2013-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2013-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2013-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2013-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-05,0.05,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-06,2.84,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-07,4.80,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-08,1.28,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2014-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-06,1.21,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-07,33.64,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-08,30.66,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-09,2.02,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2015-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-05,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-06,4.41,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-07,7.19,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-08,0.68,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-09,0.18,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2016-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-05,0.48,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-06,7.21,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-07,9.42,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-08,18.94,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-09,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-10,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-11,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2017-12,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-01,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-02,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-03,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-04,0.00,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-05,0.37,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-06,1.91,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-07,7.91,
ESTAT:NRG_CHDD_M(1.0),01/02/23 23:00:00,Monthly,Number,Cooling degree days,Austria,2018-08,22.40,
